voltage,time,
8,10/20/2021, 10:19:14 AM
8,10/20/2021, 10:17:17 AM
8,10/20/2021, 10:15:16 AM
8,10/20/2021, 10:13:22 AM
8,10/20/2021, 10:12:39 AM
8,10/20/2021, 10:11:58 AM
8,10/20/2021, 10:11:16 AM
8,10/20/2021, 10:10:34 AM
8,10/20/2021, 10:09:53 AM
8,10/20/2021, 10:09:09 AM
8,10/20/2021, 10:08:29 AM
8,10/20/2021, 10:07:45 AM
5,10/20/2021, 10:07:00 AM
5,10/20/2021, 10:06:19 AM
8,10/20/2021, 10:03:36 AM
3,10/20/2021, 10:02:17 AM
3,10/20/2021, 10:01:38 AM
0,10/20/2021, 9:59:40 AM
7,10/20/2021, 9:57:46 AM
8,10/20/2021, 9:55:38 AM
8,10/20/2021, 9:54:58 AM
8,10/20/2021, 9:54:20 AM
8,10/20/2021, 9:52:23 AM
8,10/20/2021, 9:51:39 AM
8,10/20/2021, 9:51:01 AM
8,10/20/2021, 9:50:22 AM
8,10/20/2021, 9:49:44 AM
8,10/20/2021, 9:49:06 AM
0,10/20/2021, 9:47:01 AM
0,10/20/2021, 9:46:19 AM
0,10/20/2021, 9:45:39 AM
3,10/20/2021, 9:43:02 AM
0,10/20/2021, 9:41:08 AM
0,10/20/2021, 9:40:33 AM
3,10/20/2021, 9:36:44 AM
3,10/20/2021, 9:34:39 AM
3,10/20/2021, 9:33:53 AM
3,10/20/2021, 9:31:09 AM
3,10/20/2021, 9:29:16 AM
3,10/20/2021, 9:28:35 AM
3,10/20/2021, 9:26:40 AM
4,10/20/2021, 9:23:48 AM
4,10/20/2021, 9:23:00 AM
